description_barang,description,amount,recency_days,frequency,score_price,score_recency,score_freq,final_score
ACCU FB PREMIUM 35A,PT. EMPATI SUKSES BERKARYA,641000,24,1,1.56E-06,0.04,0.111111111,0.034223002
ACCU GS N70,JAYA ABADI MOTOR,1190000,102,1,8.40E-07,0.009708738,0.111111111,0.025135264
ACCU INCOE N70,JAYA ABADI MOTOR,1015000,141,2,9.85E-07,0.007042254,0.222222222,0.046557613
ACCU YUASA MF NS402L 35A,JAYA ABADI MOTOR,670000,63,1,1.49E-06,0.015625,0.111111111,0.026910468
ACCU ZUUR YUASA,METRO MOTOR,80000,50,1,1.25E-05,0.019607843,0.111111111,0.028110825
AIR ACCU,PT. EMPATI SUKSES BERKARYA,78000,172,1,1.28E-05,0.005780347,0.111111111,0.023962737
AIR ACCU YUASA,PT. EMPATI SUKSES BERKARYA,108000,172,1,9.26E-06,0.005780347,0.111111111,0.023960956
ANTING PER FUTURA,METRO MOTOR,75000,126,1,1.33E-05,0.007874016,0.111111111,0.024591094
ANTING PER FUTURA,PT. EMPATI SUKSES BERKARYA,150000,126,1,6.67E-06,0.007874016,0.111111111,0.02458776
ANTING PER GRANDMAX,JAYA ABADI MOTOR,170000,134,1,5.88E-06,0.007407407,0.111111111,0.024447386
ANTING PER GRANDMAX,PT. EMPATI SUKSES BERKARYA,150000,131,1,6.67E-06,0.007575758,0.111111111,0.024498283
ANTING PER RUBAHAN L300,JAYA ABADI MOTOR,320000,8,1,3.13E-06,0.111111111,0.111111111,0.055557118
AS RODA BLKG L300,PT. EMPATI SUKSES BERKARYA,935000,66,1,1.07E-06,0.014925373,0.111111111,0.026700369
AS RODA FUTURA,PT. EMPATI SUKSES BERKARYA,1300000,24,1,7.69E-07,0.04,0.111111111,0.034222607
B/M ASSY AGYA,JAYA ABADI MOTOR,520000,59,1,1.92E-06,0.016666667,0.111111111,0.027223184
B/M ASSY ALTIS,PT. EMPATI SUKSES BERKARYA,625000,40,1,1.60E-06,0.024390244,0.111111111,0.029540095
B/M ASSY AVANZA,JAYA ABADI MOTOR,435000,19,1,2.30E-06,0.05,0.111111111,0.037223372
B/M ASSY JAZZ,PT. EMPATI SUKSES BERKARYA,600000,21,1,1.67E-06,0.045454545,0.111111111,0.035859419
B/M ASSY TRAGA,PT. EMPATI SUKSES BERKARYA,565000,54,1,1.77E-06,0.018181818,0.111111111,0.027677653
B/P LINER L300,SAM ENGINE WORK,700000,52,2,1.43E-06,0.018867925,0.222222222,0.050105536
BALL JOINT ATAS INNOVA/HILUX,PT. EMPATI SUKSES BERKARYA,352000,175,1,2.84E-06,0.005681818,0.111111111,0.023928188
BALL JOINT ATAS L300,JAYA RAYA MOBIL,340000,138,1,2.94E-06,0.007194245,0.111111111,0.024381966
BALL JOINT ATAS L300,PT. EMPATI SUKSES BERKARYA,580000,189,1,1.72E-06,0.005263158,0.111111111,0.023802032
BALL JOINT AVANZA/XENIA,JAYA ABADI MOTOR,85000,19,2,1.18E-05,0.05,0.222222222,0.059450327
BALL JOINT AVANZA/XENIA,PT. EMPATI SUKSES BERKARYA,330000,189,1,3.03E-06,0.005263158,0.111111111,0.023802685
BALL JOINT BAWAH L300,PT. EMPATI SUKSES BERKARYA,780000,189,1,1.28E-06,0.005263158,0.111111111,0.023801811
BALL JOINT GRANDMAX,PT. EMPATI SUKSES BERKARYA,180000,131,3,5.56E-06,0.007575758,0.333333333,0.068942172
BALL JOINT MOBILIO,PT. EMPATI SUKSES BERKARYA,125000,176,1,8.00E-06,0.005649718,0.111111111,0.023921137
BALL JOINT XPANDER,PT. EMPATI SUKSES BERKARYA,150000,170,1,6.67E-06,0.005847953,0.111111111,0.023979942
BAN LUAR 185/80 R14 ECOTEC,SURYA JAYA BAN,1310000,19,1,7.63E-07,0.05,0.111111111,0.037222604
BAN LUAR RADIAL 185 R14 MAXMILER PRO,SURYA JAYA BAN,3260000,19,2,3.07E-07,0.05,0.222222222,0.059444598
BAN LUAR RADIAL 195 R14 MAXMILER PRO,SURYA JAYA BAN,1870000,19,2,5.35E-07,0.05,0.222222222,0.059444712
BAUT 10,MITRA BAUT,10000,85,1,0.0001,0.011627907,0.111111111,0.025760594
"BAUT BMH 14X1,5X30",UD SINAR BAUT,11000,159,1,9.09E-05,0.00625,0.111111111,0.024142677
BAUT HEAD XENIA 1.0,PT. EMPATI SUKSES BERKARYA,40000,151,1,2.50E-05,0.006578947,0.111111111,0.024208406
BAUT LOWER ARM L300,76 MOTOR,30000,171,1,3.33E-05,0.005813953,0.111111111,0.023983075
BAUT MUR BAJA 10X35,MITRA BAUT,10000,50,1,0.0001,0.019607843,0.111111111,0.028154575
BAUT MUR BAJA 10X35,UD SINAR BAUT,48000,46,1,2.08E-05,0.021276596,0.111111111,0.028615618
BAUT RODA JAZZ,76 MOTOR,20000,61,1,5.00E-05,0.016129032,0.111111111,0.027085932
BAUT RODA L300,JAYA ABADI MOTOR,160000,122,1,6.25E-06,0.008130081,0.111111111,0.024664372
BAUT RODA MOBILIO,76 MOTOR,30000,61,1,3.33E-05,0.016129032,0.111111111,0.027077599
BAUT RODA PS125,76 MOTOR,80000,86,1,1.25E-05,0.011494253,0.111111111,0.025676748
BAUT RODA RUSH,JAYA ABADI MOTOR,23000,131,1,4.35E-05,0.007575758,0.111111111,0.024516689
BAUT RODA SIGRA,JAYA ABADI MOTOR,25000,173,1,4.00E-05,0.005747126,0.111111111,0.02396636
BAUT TAP 14,UD SINAR BAUT,20000,117,2,5.00E-05,0.008474576,0.222222222,0.047011817
BAUT TAP OLI,UD SINAR BAUT,25000,75,1,4.00E-05,0.013157895,0.111111111,0.026189591
BEARING 16004,ANDINDO SAMARINDA,32000,52,1,3.13E-05,0.018867925,0.111111111,0.027898225
BEARING 30306,JAYA MUNCUL MOBIL,150000,77,1,6.67E-06,0.012820513,0.111111111,0.026071709
BEARING 30BG5220,ANDINDO SAMARINDA,150000,2,1,6.67E-06,0.333333333,0.111111111,0.122225556
BEARING 32213JR,ANDINDO SAMARINDA,552000,108,1,1.81E-06,0.009174312,0.111111111,0.024975422
BEARING 32307,ANDINDO SAMARINDA,158000,77,1,6.33E-06,0.012820513,0.111111111,0.026071541
BEARING 6002,PT. EMPATI SUKSES BERKARYA,25000,106,1,4.00E-05,0.009345794,0.111111111,0.025045961
BEARING 6002,PT. SAMEKARINDO INDAH,39000,164,1,2.56E-05,0.006060606,0.111111111,0.024053225
BEARING 608,METRO MOTOR,25000,33,1,4.00E-05,0.029411765,0.111111111,0.031065752
BEARING 608,PT. EMPATI SUKSES BERKARYA,15000,24,1,6.67E-05,0.04,0.111111111,0.034255556
BEARING 6205,RIYA MOTOR,40000,94,1,2.50E-05,0.010526316,0.111111111,0.025392617
BEARING 6301,76 MOTOR,40000,147,1,2.50E-05,0.006756757,0.111111111,0.024261749
BEARING 6301,PT. EMPATI SUKSES BERKARYA,20000,109,1,5.00E-05,0.009090909,0.111111111,0.024974495
BEARING 6310,RIYA MOTOR,140000,94,1,7.14E-06,0.010526316,0.111111111,0.025383688
BEARING CONES APV,PT. EMPATI SUKSES BERKARYA,70000,150,1,1.43E-05,0.006622517,0.111111111,0.02421612
BEARING GANTUNG TERRANO,PT. EMPATI SUKSES BERKARYA,475000,197,1,2.11E-06,0.005050505,0.111111111,0.023738426
BEARING GARDAN HM88649/10,ANDINDO SAMARINDA,320345,149,1,3.12E-06,0.006666667,0.111111111,0.024223783
BEARING GARDAN M86649/10,ANDINDO SAMARINDA,127315,149,1,7.85E-06,0.006666667,0.111111111,0.024226149
BEARING HK1012,ANDINDO SAMARINDA,35000,60,1,2.86E-05,0.016393443,0.111111111,0.027154541
BEARING HK1210,ANDINDO SAMARINDA,35000,63,1,2.86E-05,0.015625,0.111111111,0.026924008
BEARING KOPLING APV,PT. EMPATI SUKSES BERKARYA,165000,109,1,6.06E-06,0.009090909,0.111111111,0.024952525
BEARING KOPLING APV,PT. SAMEKARINDO INDAH,130000,164,1,7.69E-06,0.006060606,0.111111111,0.02404425
BEARING KOPLING AVZ/XENIA 1.3,PT. EMPATI SUKSES BERKARYA,225000,56,2,4.44E-06,0.01754386,0.222222222,0.049709825
BEARING KOPLING CANTER 125,PT. EMPATI SUKSES BERKARYA,360000,151,1,2.78E-06,0.006578947,0.111111111,0.024197295
BEARING KOPLING ISUZU TRAGA,PT. EMPATI SUKSES BERKARYA,210000,70,1,4.76E-06,0.014084507,0.111111111,0.026449955
BEARING KOPLING L300,PT. EMPATI SUKSES BERKARYA,190000,11,2,5.26E-06,0.083333333,0.222222222,0.069447076
BEARING KOPLING NEW CARRY,JAYA ABADI MOTOR,165000,191,1,6.06E-06,0.005208333,0.111111111,0.023787753
BEARING KOPLING PS120,PT. EMPATI SUKSES BERKARYA,310000,157,1,3.23E-06,0.006329114,0.111111111,0.024122569
BEARING LM501349/10,ANDINDO SAMARINDA,97015,149,1,1.03E-05,0.006666667,0.111111111,0.024227376
BEARING LM501349/10,PT. EMPATI SUKSES BERKARYA,125000,149,1,8.00E-06,0.006666667,0.111111111,0.024226222
BEARING LM501349/14,PT. EMPATI SUKSES BERKARYA,150000,148,1,6.67E-06,0.006711409,0.111111111,0.024238978
BEARING NF210,RIYA MOTOR,145000,94,1,6.90E-06,0.010526316,0.111111111,0.025383565
BEARING RD BLKG AVANZA,PT. EMPATI SUKSES BERKARYA,200000,46,1,5.00E-06,0.021276596,0.111111111,0.028607701
BEARING RD BLKG DLM PS,JAYA ABADI MOTOR,200000,141,1,5.00E-06,0.007042254,0.111111111,0.024337398
BEARING RD BLKG FUTURA,JAYA MUNCUL MOBIL,170000,25,1,5.88E-06,0.038461538,0.111111111,0.033763625
BEARING RD BLKNG GRANDMAX,JAYA RAYA MOBIL,100000,142,1,1.00E-05,0.006993007,0.111111111,0.024325124
BEARING RD BLKNG GRANDMAX (A),DAIHATSU DEALER,400000,113,1,2.50E-06,0.00877193,0.111111111,0.024855051
BEARING RD BLKNG GRANDMAX (A),PT. EMPATI SUKSES BERKARYA,350000,9,1,2.86E-06,0.1,0.111111111,0.052223651
BEARING RD DPN LIVINA,PT. EMPATI SUKSES BERKARYA,450000,117,1,2.22E-06,0.008474576,0.111111111,0.024765706
BEARING RD DPN MIRAGE,MEGAH JAYA MOTOR,275000,112,1,3.64E-06,0.008849558,0.111111111,0.024878908
BEARING RD DPN TRITON JP,JAYA ABADI MOTOR,550000,35,1,1.82E-06,0.027777778,0.111111111,0.030556465
BEARING RD DPN YARIS,PT. EMPATI SUKSES BERKARYA,300000,126,1,3.33E-06,0.007874016,0.111111111,0.024586094
BEARING RODA BELAKANG L300,JAYA ABADI MOTOR,170000,45,1,5.88E-06,0.02173913,0.111111111,0.028746903
BEARING RODA BLKNG APV,PT. EMPATI SUKSES BERKARYA,220000,150,1,4.55E-06,0.006622517,0.111111111,0.02421125
BEARING RODA DPN APV,JAYA ABADI MOTOR,340000,108,2,2.94E-06,0.009174312,0.222222222,0.047198209
BEARING RODA DPN AVANZA ALL NEW,JAYA ABADI MOTOR,420000,52,1,2.38E-06,0.018867925,0.111111111,0.02788379
BEARING RODA DPN AVANZA ALL NEW,PT. EMPATI SUKSES BERKARYA,285000,112,1,3.51E-06,0.008849558,0.111111111,0.024878844
BEARING RODA DPN AVANZA LAMA,PT. EMPATI SUKSES BERKARYA,265000,24,2,3.77E-06,0.04,0.222222222,0.056446331
BEARING RODA DPN GRAND MAX,JAYA ABADI MOTOR,210000,140,1,4.76E-06,0.007092199,0.111111111,0.024352263
BEARING RODA DPN GRANDMAX ( A ),JAYA ABADI MOTOR,315000,85,1,3.17E-06,0.011627907,0.111111111,0.025712182
BEARING RODA DPN GRANDMAX ( A ),PT. EMPATI SUKSES BERKARYA,1200000,82,2,8.33E-07,0.012048193,0.222222222,0.048059319
BEARING RODA DPN RUSH,JAYA ABADI MOTOR,210000,200,1,4.76E-06,0.004975124,0.111111111,0.02371714
BEARING TENSIONER APV,PT. EMPATI SUKSES BERKARYA,125000,149,2,8.00E-06,0.006666667,0.222222222,0.046448444
BELL CRANK L300,PT. EMPATI SUKSES BERKARYA,300000,148,1,3.33E-06,0.006711409,0.111111111,0.024237312
BENDIG DINAMO STARTER L300,PT. EMPATI SUKSES BERKARYA,95000,157,1,1.05E-05,0.006329114,0.111111111,0.02412622
BENDIG STARTER FUTURA,JAYA ABADI MOTOR,75000,183,1,1.33E-05,0.005434783,0.111111111,0.023859324
BENDIG STARTER FUTURA,PT. EMPATI SUKSES BERKARYA,85000,0,1,1.18E-05,1,0.111111111,0.322228105
BENSIN ,WARUNG DAENG,65000,57,6,1.54E-05,0.017241379,0.666666667,0.138513439
BLOWER BRUSH RAGASA,JAYA MUNCUL MOBIL,50000,83,1,2.00E-05,0.011904762,0.111111111,0.025803651
BOLA LAMPU H16 12V,JAYA ABADI MOTOR,150000,79,1,6.67E-06,0.0125,0.111111111,0.025975556
BOLA LAMPU H4 60/55,JAYA ABADI MOTOR,50000,79,1,2.00E-05,0.0125,0.111111111,0.025982222
BOLA LAMPU K1 12V,PT. EMPATI SUKSES BERKARYA,25000,29,1,4.00E-05,0.033333333,0.111111111,0.032242222
BOLA LAMPU K2 12V,JAYA ABADI MOTOR,45000,191,1,2.22E-05,0.005208333,0.111111111,0.023795833
BOLA LAMPU K2 12V,PT. EMPATI SUKSES BERKARYA,25000,29,1,4.00E-05,0.033333333,0.111111111,0.032242222
BONGKAR PASANG BAN,ADHIE AGAS BAN,20000,139,1,5.00E-05,0.007142857,0.111111111,0.024390079
BOOSTER REM PANTHER,JAYA ABADI MOTOR,485000,37,1,2.06E-06,0.026315789,0.111111111,0.03011799
BOOSTER TERRANO,PT. EMPATI SUKSES BERKARYA,1350000,112,1,7.41E-07,0.008849558,0.111111111,0.02487746
BOOT AS RODA DLM TRITON,METRO MOTOR,45000,37,1,2.22E-05,0.026315789,0.111111111,0.03012807
BOOT DRIVE SHAFT HILUX,PT. EMPATI SUKSES BERKARYA,110000,199,1,9.09E-06,0.005,0.111111111,0.023726768
BOOT KOPLING APV,PT. SAMEKARINDO INDAH,23000,164,1,4.35E-05,0.006060606,0.111111111,0.024062143
BUBUT CAKRAM,BENGKEL WAWAN,200000,123,2,5.00E-06,0.008064516,0.222222222,0.046866299
BUBUT CRANKSHAFT,SAM ENGINE WORK,630000,56,1,1.59E-06,0.01754386,0.111111111,0.027486174
BUSHING  ARM ATAS PANTHER,PT. EMPATI SUKSES BERKARYA,180000,74,1,5.56E-06,0.013333333,0.111111111,0.026225
BUSHING ARM BLKG GRANDMAX,METRO MOTOR,130000,50,1,7.69E-06,0.019607843,0.111111111,0.028108421
BUSHING ARM BSR DPN MOBILIO,PT. EMPATI SUKSES BERKARYA,150000,176,1,6.67E-06,0.005649718,0.111111111,0.023920471
BUSHING ARM BSR GRANDMAX,PT. EMPATI SUKSES BERKARYA,165000,198,2,6.06E-06,0.005025126,0.222222222,0.045955012
BUSHING ARM GRAND MAX,PT. EMPATI SUKSES BERKARYA,87500,131,3,1.14E-05,0.007575758,0.333333333,0.068945108
BUSHING CENTER ARM CARRY,76 MOTOR,80000,44,3,1.25E-05,0.022222222,0.333333333,0.073339583
BUSHING GROMMET STEER AVANZA,76 MOTOR,100000,133,1,1.00E-05,0.007462687,0.111111111,0.024466028
BUSHING GROMMET STEER GRANDMAX,METRO MOTOR,70000,126,1,1.43E-05,0.007874016,0.111111111,0.02459157
BUSHING GROMMET STEER GRANDMAX,PT. EMPATI SUKSES BERKARYA,50000,9,3,2.00E-05,0.1,0.333333333,0.096676667
BUSHING IDLER ARM L300,PT. EMPATI SUKSES BERKARYA,80000,148,1,1.25E-05,0.006711409,0.111111111,0.024241895
BUSHING LOWER ARM BLKNG BSR GRANDMAX,JAYA RAYA MOBIL,150000,91,1,6.67E-06,0.010869565,0.111111111,0.025486425
BUSHING LOWER ARM BWH L300,76 MOTOR,60000,171,1,1.67E-05,0.005813953,0.111111111,0.023974742
BUSHING SHOCK KECIL AVANZA,PT. EMPATI SUKSES BERKARYA,35000,45,1,2.86E-05,0.02173913,0.111111111,0.028758247
BUSHING STABILIZER BLKNG INNOVA,PT. EMPATI SUKSES BERKARYA,45000,175,1,2.22E-05,0.005681818,0.111111111,0.023937879
BUSHING STEER,MEGAH JAYA MOTOR,120000,85,1,8.33E-06,0.011627907,0.111111111,0.025714761
BUSHING STEER GRANDMAX,METRO MOTOR,45000,199,1,2.22E-05,0.005,0.111111111,0.023733333
BUSHING STEER GRANDMAX,PT. EMPATI SUKSES BERKARYA,30000,190,1,3.33E-05,0.005235602,0.111111111,0.02380957
BUSHING STEER NEW RUSH,PT. EMPATI SUKSES BERKARYA,65000,11,2,1.54E-05,0.083333333,0.222222222,0.069452137
BUSHING STEER SIGRA,76 MOTOR,60000,42,1,1.67E-05,0.023255814,0.111111111,0.0292073
BUSI DENSO IRIDIUM,JAYA ABADI MOTOR,360000,40,1,2.78E-06,0.024390244,0.111111111,0.029540684
BUSI DENSO K20HR-U11,JAYA ABADI MOTOR,54000,113,1,1.85E-05,0.00877193,0.111111111,0.02486306
BUSI DENSO K20HR-U11,PT. EMPATI SUKSES BERKARYA,175000,157,1,5.71E-06,0.006329114,0.111111111,0.024123814
BUSI DENSO XU22PR9,JAYA ABADI MOTOR,275000,110,1,3.64E-06,0.009009009,0.111111111,0.024926743
BUSI PEMANAS L300,JAYA ABADI MOTOR,220000,85,1,4.55E-06,0.011627907,0.111111111,0.025712867
C/M ASSY ATAS L300,PT. EMPATI SUKSES BERKARYA,325000,119,1,3.08E-06,0.008333333,0.111111111,0.024723761
C/M ASSY DUTRO,JAYA ABADI MOTOR,165000,133,1,6.06E-06,0.007462687,0.111111111,0.024464058
CASTROL MAGNATEC 10/40 4L,JAYA RAYA MOBIL,376000,142,1,2.66E-06,0.006993007,0.111111111,0.024321454
CASTROL MAGNETEC 10/40 1L,JAYA RAYA MOBIL,99000,142,1,1.01E-05,0.006993007,0.111111111,0.024325175
CATRIDGE TURBO PANTHER,PT. EMPATI SUKSES BERKARYA,1200000,81,1,8.33E-07,0.012195122,0.111111111,0.025881175
CEK KAKI-KAKI KOMPUTER,ADHIE AGAS BAN,255000,127,1,3.92E-06,0.0078125,0.111111111,0.024567933
CENTER PIES AVANZA,SENTOSA TEKNIK,275000,2,1,3.64E-06,0.333333333,0.111111111,0.12222404
CENTRAL LOCK P/WINDOW APV,PT. EMPATI SUKSES BERKARYA,350000,131,1,2.86E-06,0.007575758,0.111111111,0.024496378
COIL GRAND MAX,JAYA ABADI MOTOR,550000,138,1,1.82E-06,0.007194245,0.111111111,0.024381405
COIL SPRING AYLA/AGYA,PT. EMPATI SUKSES BERKARYA,420000,10,1,2.38E-06,0.090909091,0.111111111,0.04949614
COIL SPRING BLKNG GRANDMAX,PT. EMPATI SUKSES BERKARYA,550000,33,1,1.82E-06,0.029411765,0.111111111,0.031046661
COIL SPRING GRAND MAX,PT. EMPATI SUKSES BERKARYA,275000,123,1,3.64E-06,0.008064516,0.111111111,0.024643395
CONES FUTURA,PT. EMPATI SUKSES BERKARYA,50000,25,1,2.00E-05,0.038461538,0.111111111,0.033770684
CONES GRANDMAX,JAYA RAYA MOBIL,25000,142,1,4.00E-05,0.006993007,0.111111111,0.024340124
CONES GRANDMAX,PT. EMPATI SUKSES BERKARYA,150000,113,1,6.67E-06,0.00877193,0.111111111,0.024857135
CONES GRANDMAX ASLI,PT. EMPATI SUKSES BERKARYA,175000,9,1,5.71E-06,0.1,0.111111111,0.052225079
COOLANT RADIATOR,PT. EMPATI SUKSES BERKARYA,154000,9,5,6.49E-06,0.1,0.555555556,0.141114358
COVER DEPAN DONG FENG 8PK,RIYA MOTOR,195000,95,1,5.13E-06,0.010416667,0.111111111,0.025349786
CRANKSHAFT DONG FENG 8PK,RIYA MOTOR,390000,94,1,2.56E-06,0.010526316,0.111111111,0.025381399
CROSS JOINT AVANZA/XENIA,JAYA ABADI MOTOR,250000,123,1,4.00E-06,0.008064516,0.111111111,0.024643577
CROSS JOINT GRANDMAX,JAYA ABADI MOTOR,250000,75,1,4.00E-06,0.013157895,0.111111111,0.026171591
CROSS JOINT GRANDMAX,PT. EMPATI SUKSES BERKARYA,150000,52,1,6.67E-06,0.018867925,0.111111111,0.027885933
CROSS JOINT INNOVA,METRO MOTOR,175000,65,1,5.71E-06,0.015151515,0.111111111,0.026770534
CROSS JOINT TERRANO,PT. EMPATI SUKSES BERKARYA,125000,157,2,8.00E-06,0.006329114,0.222222222,0.046347179
CUCI MOBIL,PENCUCIAN MOBIL,60000,150,1,1.67E-05,0.006622517,0.111111111,0.024217311
CYLINDER HEAD NEW L300,PT. EMPATI SUKSES BERKARYA,4500000,119,1,2.22E-07,0.008333333,0.111111111,0.024722333
DINAMO AIR WIPER AVANZA,76 MOTOR,120000,89,1,8.33E-06,0.011111111,0.111111111,0.025559722
DINAMO AIR WIPER AVANZA,JAYA ABADI MOTOR,65000,89,1,1.54E-05,0.011111111,0.111111111,0.025563248
DINAMO AIR WIPER AVANZA,PT. EMPATI SUKSES BERKARYA,65000,87,1,1.54E-05,0.011363636,0.111111111,0.025639005
DISC BRAKE DPN APV,PT. EMPATI SUKSES BERKARYA,500000,119,1,2.00E-06,0.008333333,0.111111111,0.024723222
DISC BRAKE FUTURA,PT. EMPATI SUKSES BERKARYA,530000,25,1,1.89E-06,0.038461538,0.111111111,0.033761627
DISC BRAKE HILUX REVO,PT. EMPATI SUKSES BERKARYA,450000,37,1,2.22E-06,0.026315789,0.111111111,0.03011807
DRAG LINK CANTER,PT. EMPATI SUKSES BERKARYA,1050000,23,1,9.52E-07,0.041666667,0.111111111,0.034722698
DRIVE SHAFT CALYA,PT. EMPATI SUKSES BERKARYA,1250000,203,1,8.00E-07,0.004901961,0.111111111,0.02369321
DUDUKAN ACCU ,PT. EMPATI SUKSES BERKARYA,70000,182,1,1.43E-05,0.005464481,0.111111111,0.023868709
ENGINE FLUSH PRESTONE,PT. EMPATI SUKSES BERKARYA,50000,32,1,2.00E-05,0.03030303,0.111111111,0.031323131
"ENGINE MOUNTING CARRY 1,5",PT. EMPATI SUKSES BERKARYA,55000,162,1,1.82E-05,0.006134969,0.111111111,0.024071804
ENGINE MOUNTING GRANMAX,PT. EMPATI SUKSES BERKARYA,490000,198,1,2.04E-06,0.005025126,0.111111111,0.02373078
FAN BELT 4PK785 TARUNA,76 MOTOR,70000,52,1,1.43E-05,0.018867925,0.111111111,0.027889742
FAN BELT ALTENATOR L300,76 MOTOR,90000,59,2,1.11E-05,0.016666667,0.222222222,0.04945
FAN BELT MANUAL GRAND MAX 1.3,JAYA ABADI MOTOR,75000,105,1,1.33E-05,0.009433962,0.111111111,0.025059078
FAN BELT PS,76 MOTOR,65000,2,2,1.54E-05,0.333333333,0.222222222,0.144452137
FAN BELT PS,PT. EMPATI SUKSES BERKARYA,55000,11,1,1.82E-05,0.083333333,0.111111111,0.047231313
FAN BELT TRAGA SHORT,PT. EMPATI SUKSES BERKARYA,45000,126,1,2.22E-05,0.007874016,0.111111111,0.024595538
FANBELT 3PK625,PT. EMPATI SUKSES BERKARYA,40000,154,1,2.50E-05,0.006451613,0.111111111,0.024170206
FANBELT 4PK715 XENIA 1.0,PT. EMPATI SUKSES BERKARYA,40000,154,1,2.50E-05,0.006451613,0.111111111,0.024170206
FANBELT 4PK820,PT. EMPATI SUKSES BERKARYA,95000,17,1,1.05E-05,0.055555556,0.111111111,0.038894152
