description_barang,description,amount,recency_days,frequency,score_price,score_recency,score_freq,final_score
FANBELT 5PK992 NEW CARRY,PT. EMPATI SUKSES BERKARYA,55000,74,1,1.82E-05,0.013333333,0.111111111,0.026231313
FANBELT 7PK1750,PT. EMPATI SUKSES BERKARYA,295000,17,1,3.39E-06,0.055555556,0.111111111,0.038890584
FANBELT A31,76 MOTOR,45000,136,1,2.22E-05,0.00729927,0.111111111,0.024423114
FANBELT A63,SUMBER MAS,130000,81,1,7.69E-06,0.012195122,0.111111111,0.025884605
FANBELT B42,76 MOTOR,85000,137,1,1.18E-05,0.007246377,0.111111111,0.024402018
FANBELT B42,JAYA ABADI MOTOR,60000,136,1,1.67E-05,0.00729927,0.111111111,0.024420337
FANBELT FM27.5,PT. EMPATI SUKSES BERKARYA,28000,154,1,3.57E-05,0.006451613,0.111111111,0.024175563
FANBELT INNOVA 7PK2300,PT. EMPATI SUKSES BERKARYA,185000,156,1,5.41E-06,0.006369427,0.111111111,0.024135753
FANBELT RUSH (A),76 MOTOR,140000,0,1,7.14E-06,1,0.111111111,0.322225794
"FASTRON ECOGREEN 3,5LTR",PT. EMPATI SUKSES BERKARYA,1086000,56,2,9.21E-07,0.01754386,0.222222222,0.049708063
FASTRON TECHNO 4LTR,JAYA ABADI MOTOR,520000,196,1,1.92E-06,0.005076142,0.111111111,0.023746026
FASTRON TECHNO 4LTR,PT. EMPATI SUKSES BERKARYA,1527000,56,3,6.55E-07,0.01754386,0.333333333,0.071930152
FEUL PUMP INNOVA,PT. EMPATI SUKSES BERKARYA,375000,57,1,2.67E-06,0.017241379,0.111111111,0.027395969
FILTER AC SIGRA,JAYA ABADI MOTOR,43000,40,1,2.33E-05,0.024390244,0.111111111,0.029550923
FILTER AC YARIS,76 MOTOR,80000,114,1,1.25E-05,0.008695652,0.111111111,0.024837168
FILTER BENSIN CARRY,JAYA ABADI MOTOR,75000,192,1,1.33E-05,0.005181347,0.111111111,0.023783293
FILTER CANISTER CARRY,JAYA RAYA MOBIL,650000,191,1,1.54E-06,0.005208333,0.111111111,0.023785491
FILTER MINYAK INNOVA,JAYA ABADI MOTOR,35000,83,1,2.86E-05,0.011904762,0.111111111,0.025807937
FILTER OLI APV,JAYA ABADI MOTOR,144000,124,1,6.94E-06,0.008,0.111111111,0.024625694
FILTER OLI APV,PT. EMPATI SUKSES BERKARYA,150000,36,2,6.67E-06,0.027027027,0.222222222,0.052555886
FILTER OLI AVANZA / XENIA,JAYA ABADI MOTOR,100000,102,1,1.00E-05,0.009708738,0.111111111,0.025139844
FILTER OLI AVANZA / XENIA,PT. EMPATI SUKSES BERKARYA,450000,40,4,2.22E-06,0.024390244,0.444444444,0.096207073
FILTER OLI AVEGA,PT. EMPATI SUKSES BERKARYA,45000,32,1,2.22E-05,0.03030303,0.111111111,0.031324242
FILTER OLI CANTER ORI,PT. EMPATI SUKSES BERKARYA,630000,56,1,1.59E-06,0.01754386,0.111111111,0.027486174
FILTER OLI COLT120SS,76 MOTOR,40000,32,1,2.50E-05,0.03030303,0.111111111,0.031325631
FILTER OLI DONG FENG,RIYA MOTOR,15000,94,1,6.67E-05,0.010526316,0.111111111,0.02541345
FILTER OLI INNOVA,JAYA ABADI MOTOR,28000,65,1,3.57E-05,0.015151515,0.111111111,0.026785534
FILTER OLI INNOVA,JAYA RAYA MOBIL,44000,142,1,2.27E-05,0.006993007,0.111111111,0.024331488
FILTER OLI JAZZ/FREED,JAYA ABADI MOTOR,140000,37,1,7.14E-06,0.026315789,0.111111111,0.03012053
FILTER OLI JAZZ/FREED,PT. EMPATI SUKSES BERKARYA,100000,189,1,1.00E-05,0.005263158,0.111111111,0.02380617
FILTER OLI L300 ASLI,PT. EMPATI SUKSES BERKARYA,1001000,189,1,9.99E-07,0.005263158,0.111111111,0.023801669
FILTER OLI LIVINA,JAYA ABADI MOTOR,30000,7,1,3.33E-05,0.125,0.111111111,0.059738889
FILTER OLI MARCH,JAYA RAYA MOBIL,50000,56,1,2.00E-05,0.01754386,0.111111111,0.02749538
FILTER OLI TERRANO,MEGAH JAYA MOTOR,85000,7,1,1.18E-05,0.125,0.111111111,0.059728105
FILTER OLI TRAGA,JAYA ABADI MOTOR,195000,177,1,5.13E-06,0.005617978,0.111111111,0.02391018
FILTER OLI TRAGA,PT. EMPATI SUKSES BERKARYA,210000,99,1,4.76E-06,0.01,0.111111111,0.025224603
FILTER OLI TRITON,76 MOTOR,130000,1,1,7.69E-06,0.5,0.111111111,0.172226068
FILTER OLI WULING,76 MOTOR,55000,91,1,1.82E-05,0.010869565,0.111111111,0.025492183
FILTER OLI X TRAIL,76 MOTOR,40000,91,1,2.50E-05,0.010869565,0.111111111,0.025495592
FILTER OLI YARIS/VIOS,76 MOTOR,40000,26,1,2.50E-05,0.037037037,0.111111111,0.033345833
FILTER OLI YARIS/VIOS,JAYA ABADI MOTOR,25000,61,1,4.00E-05,0.016129032,0.111111111,0.027080932
FILTER OLI YARIS/VIOS,SINAR MAJU,35000,61,1,2.86E-05,0.016129032,0.111111111,0.027075218
FILTER SOLAR ATAS PS,PT. EMPATI SUKSES BERKARYA,41000,11,2,2.44E-05,0.083333333,0.222222222,0.06945664
FILTER SOLAR BWH CANTER EURO 4,76 MOTOR,200000,42,1,5.00E-06,0.023255814,0.111111111,0.029201466
FILTER SOLAR BWH DYNA,76 MOTOR,85000,39,1,1.18E-05,0.025,0.111111111,0.029728105
FILTER SOLAR HILUX REVO,76 MOTOR,135000,151,1,7.41E-06,0.006578947,0.111111111,0.02419961
FILTER SOLAR HILUX REVO,PT. EMPATI SUKSES BERKARYA,125000,88,1,8.00E-06,0.011235955,0.111111111,0.025597009
FILTER SOLAR L300 (A),PT. EMPATI SUKSES BERKARYA,540000,56,3,1.85E-06,0.01754386,0.333333333,0.07193075
FILTER SOLAR PANTHER,76 MOTOR,40000,166,1,2.50E-05,0.005988024,0.111111111,0.024031129
FILTER SOLAR PANTHER,PT. EMPATI SUKSES BERKARYA,70000,156,1,1.43E-05,0.006369427,0.111111111,0.024140193
FILTER UDARA AGYA/AYLA 1.0,PT. EMPATI SUKSES BERKARYA,160000,119,1,6.25E-06,0.008333333,0.111111111,0.024725347
FILTER UDARA AGYA/AYLA 1.2,PT. EMPATI SUKSES BERKARYA,280000,119,1,3.57E-06,0.008333333,0.111111111,0.024724008
FILTER UDARA CALYA/SIGRA,76 MOTOR,90000,134,1,1.11E-05,0.007407407,0.111111111,0.02445
FILTER UDARA CALYA/SIGRA,JAYA ABADI MOTOR,85000,161,1,1.18E-05,0.00617284,0.111111111,0.024079956
FILTER UDARA CALYA/SIGRA,PT. EMPATI SUKSES BERKARYA,160000,36,2,6.25E-06,0.027027027,0.222222222,0.052555678
FILTER UDARA CANTER,JAYA ABADI MOTOR,178000,59,2,5.62E-06,0.016666667,0.222222222,0.049447253
FILTER UDARA CANTER,PT. EMPATI SUKSES BERKARYA,376000,56,1,2.66E-06,0.01754386,0.111111111,0.02748671
FILTER UDARA DATSUN,PT. EMPATI SUKSES BERKARYA,75000,113,1,1.33E-05,0.00877193,0.111111111,0.024860468
FILTER UDARA GRAND MAX,JAYA ABADI MOTOR,200000,191,1,5.00E-06,0.005208333,0.111111111,0.023787222
FILTER UDARA GRAND MAX,PT. EMPATI SUKSES BERKARYA,135000,25,2,7.41E-06,0.038461538,0.222222222,0.05598661
FILTER UDARA INNOVA,PT. EMPATI SUKSES BERKARYA,110000,81,1,9.09E-06,0.012195122,0.111111111,0.025885304
FILTER UDARA L300,76 MOTOR,125000,59,1,8.00E-06,0.016666667,0.111111111,0.027226222
FILTER UDARA L300,PT. EMPATI SUKSES BERKARYA,224000,36,2,4.46E-06,0.027027027,0.222222222,0.052554785
FILTER UDARA PS120,PT. EMPATI SUKSES BERKARYA,85000,157,1,1.18E-05,0.006329114,0.111111111,0.024126839
FILTER UDARA YARIS,76 MOTOR,205000,26,1,4.88E-06,0.037037037,0.111111111,0.033335772
FILTER WATER SEPARATOR CANTER,76 MOTOR,185000,84,1,5.41E-06,0.011764706,0.111111111,0.025754337
FLANGE JOINT GRAND MAX,PT. EMPATI SUKSES BERKARYA,165000,136,1,6.06E-06,0.00729927,0.111111111,0.024415034
FLANGE JOINT L300,PT. EMPATI SUKSES BERKARYA,125000,117,1,8.00E-06,0.008474576,0.111111111,0.024768595
FLANGE PINION L300,76 MOTOR,100000,117,1,1.00E-05,0.008474576,0.111111111,0.024769595
FLASHER RETING L300,JAYA ABADI MOTOR,80000,85,1,1.25E-05,0.011627907,0.111111111,0.025716844
GARPU KOPLING L300,76 MOTOR,150000,11,1,6.67E-06,0.083333333,0.111111111,0.047225556
GARPU KOPLING L300,JAYA MUNCUL MOBIL,200000,46,1,5.00E-06,0.021276596,0.111111111,0.028607701
HANDEL BAGASI APV,PT. EMPATI SUKSES BERKARYA,65000,126,1,1.54E-05,0.007874016,0.111111111,0.024592119
HANDEL PINTU DPN APV,PT. EMPATI SUKSES BERKARYA,30000,150,1,3.33E-05,0.006622517,0.111111111,0.024225644
HANDEL PINTU DPN LUAR GRANDMAX,METRO MOTOR,45000,72,1,2.22E-05,0.01369863,0.111111111,0.026342922
HEAD CYLINDER ASSY DONG FENG,RIYA MOTOR,385000,92,1,2.60E-06,0.010752688,0.111111111,0.025449327
HOLDER LAMPU L300,JAYA ABADI MOTOR,235000,114,1,4.26E-06,0.008695652,0.111111111,0.024833046
HOSE ALTENATOR ,JAYA ABADI MOTOR,60000,196,1,1.67E-05,0.005076142,0.111111111,0.023753398
HOSE OIL COOLER PENDEK L300,PT. EMPATI SUKSES BERKARYA,175000,133,1,5.71E-06,0.007462687,0.111111111,0.024463885
HOSE RADIATOR BAWAH GRANDMAX,JAYA ABADI MOTOR,40000,69,1,2.50E-05,0.014285714,0.111111111,0.026520437
HOSE RADIATOR BAWAH GRANDMAX,PT. EMPATI SUKSES BERKARYA,45000,203,1,2.22E-05,0.004901961,0.111111111,0.023703922
HOSE RADIATOR BWH FREED,JAYA RAYA MOBIL,300000,108,1,3.33E-06,0.009174312,0.111111111,0.024976182
HOUSING STEER L300,JAYA ABADI MOTOR,300000,27,1,3.33E-06,0.035714286,0.111111111,0.032938175
HOUSING STEER L300,PT. EMPATI SUKSES BERKARYA,300000,121,2,3.33E-06,0.008196721,0.222222222,0.046905128
HOUSING THERMOSTAT GRANDMAX,PT. EMPATI SUKSES BERKARYA,150000,9,1,6.67E-06,0.1,0.111111111,0.052225556
IDLER ARM L300,PT. EMPATI SUKSES BERKARYA,390000,182,1,2.56E-06,0.005464481,0.111111111,0.023862849
INDOSPRING DH00046-03 GRANDMAX,BERLIAN MOTOR,169000,166,1,5.92E-06,0.005988024,0.111111111,0.024021588
INDOSPRING DH0073-01 GRANDMAX,JAYA ABADI MOTOR,180000,3,1,5.56E-06,0.25,0.111111111,0.097225
INDOSPRING DH0073-01 GRANDMAX,PT. EMPATI SUKSES BERKARYA,356000,11,1,2.81E-06,0.083333333,0.111111111,0.047223627
ISC GRANDMAX,DAIHATSU DEALER,380000,154,1,2.63E-06,0.006451613,0.111111111,0.024159022
JOINT STEER GRANDMAX,PT. EMPATI SUKSES BERKARYA,240000,63,2,4.17E-06,0.015625,0.222222222,0.049134028
JOINT STEER RUSH ,MEGAH JAYA MOTOR,275000,94,1,3.64E-06,0.010526316,0.111111111,0.025381935
JOINT STEER XENIA,JAYA ABADI MOTOR,250000,52,1,4.00E-06,0.018867925,0.111111111,0.0278846
"KABEL 1,25 MM",JAYA ABADI MOTOR,100000,59,1,1.00E-05,0.016666667,0.111111111,0.027227222
KABEL BUSI APV,76 MOTOR,100000,163,1,1.00E-05,0.006097561,0.111111111,0.024056491
KABEL HAND REM RR/RH GRAND MAX,PT. EMPATI SUKSES BERKARYA,350000,150,1,2.86E-06,0.006622517,0.111111111,0.024210406
KABEL RELAY KLAKSON,PT. EMPATI SUKSES BERKARYA,75000,50,1,1.33E-05,0.019607843,0.111111111,0.028111242
KABEL SPEDOMETER DYNA,PT. EMPATI SUKSES BERKARYA,275000,66,1,3.64E-06,0.014925373,0.111111111,0.026701652
KABEL SPEDOMETER L300,JAYA ABADI MOTOR,100000,87,1,1.00E-05,0.011363636,0.111111111,0.025636313
KABEL TRANSMISI GRAND MAX,PT. EMPATI SUKSES BERKARYA,525000,190,1,1.90E-06,0.005235602,0.111111111,0.023793855
KABEL TRANSMISI PJG L300,JAYA ABADI MOTOR,345000,119,1,2.90E-06,0.008333333,0.111111111,0.024723671
KALIBRASI SUPLAY PUMP & COMMON RAIL,TEPIAN DIESEL,3500000,53,2,2.86E-07,0.018518519,0.222222222,0.050000143
KALIPER ASSY  L300,PT. EMPATI SUKSES BERKARYA,550000,112,1,1.82E-06,0.008849558,0.111111111,0.024877999
KALIPER KIT AVANZA,76 MOTOR,50000,25,1,2.00E-05,0.038461538,0.111111111,0.033770684
KALIPER KIT AVANZA,PT. EMPATI SUKSES BERKARYA,45000,23,3,2.22E-05,0.041666667,0.333333333,0.079177778
KALIPER KIT CARRY,METRO MOTOR,75000,161,1,1.33E-05,0.00617284,0.111111111,0.024080741
KALIPER KIT CARRY,PT. EMPATI SUKSES BERKARYA,45000,25,1,2.22E-05,0.038461538,0.111111111,0.033771795
KALIPER KIT PANTHER,76 MOTOR,75000,73,1,1.33E-05,0.013513514,0.111111111,0.026282943
KALIPER KIT SIGRA/CALYA,76 MOTOR,125000,34,1,8.00E-06,0.028571429,0.111111111,0.030797651
KALIPER KIT SIGRA/CALYA,METRO MOTOR,95000,34,1,1.05E-05,0.028571429,0.111111111,0.030798914
KALIPER KIT TRITON ,76 MOTOR,70000,38,1,1.43E-05,0.025641026,0.111111111,0.029921673
KALIPER KIT TRITON ,JAYA RAYA MOBIL,176000,180,1,5.68E-06,0.005524862,0.111111111,0.023882522
KAMPAS HAND REM PS,JAYA ABADI MOTOR,85000,63,1,1.18E-05,0.015625,0.111111111,0.026915605
KAMPAS HAND REM PS,MITRA UTAMA MOBIL,100000,151,1,1.00E-05,0.006578947,0.111111111,0.024200906
KAMPAS HAND REM PS,PT. EMPATI SUKSES BERKARYA,110000,57,1,9.09E-06,0.017241379,0.111111111,0.027399181
KAMPAS KOPLING CANTER 125,PT. EMPATI SUKSES BERKARYA,1898000,151,1,5.27E-07,0.006578947,0.111111111,0.02419617
KAMPAS KOPLING ISUZU TRAGA,JAYA ABADI MOTOR,450000,116,1,2.22E-06,0.008547009,0.111111111,0.024787436
KAMPAS KOPLING ISUZU TRAGA,PT. EMPATI SUKSES BERKARYA,415000,70,1,2.41E-06,0.014084507,0.111111111,0.026448779
KAMPAS KOPLING L300,PT. EMPATI SUKSES BERKARYA,660000,11,3,1.52E-06,0.083333333,0.333333333,0.091667424
KAMPAS KOPLING PS120,PT. EMPATI SUKSES BERKARYA,1002000,157,1,9.98E-07,0.006329114,0.111111111,0.024121455
KAMPAS KOPLING TARUNA,PT. EMPATI SUKSES BERKARYA,300000,56,1,3.33E-06,0.01754386,0.111111111,0.027487047
KAMPAS REM BELAKANG L300,76 MOTOR,300000,98,1,3.33E-06,0.01010101,0.111111111,0.025254192
KAMPAS REM BELAKANG L300,PT. EMPATI SUKSES BERKARYA,155000,56,2,6.45E-06,0.01754386,0.222222222,0.049710828
KAMPAS REM BLKG AGYA,76 MOTOR,185000,4,1,5.41E-06,0.2,0.111111111,0.082224925
KAMPAS REM BLKG CRV,76 MOTOR,225000,56,1,4.44E-06,0.01754386,0.111111111,0.027487602
KAMPAS REM BLKG FUTURA,PT. EMPATI SUKSES BERKARYA,145000,25,1,6.90E-06,0.038461538,0.111111111,0.033764132
KAMPAS REM BLKG GRAND MAX,PT. EMPATI SUKSES BERKARYA,330000,189,1,3.03E-06,0.005263158,0.111111111,0.023802685
KAMPAS REM BLKG TARUNA,JAYA ABADI MOTOR,188000,102,1,5.32E-06,0.009708738,0.111111111,0.025137503
KAMPAS REM BLKG TRAGA ,PT. EMPATI SUKSES BERKARYA,250000,36,1,4.00E-06,0.027027027,0.111111111,0.03033233
KAMPAS REM BLKG TRAGA ORI,PT. EMPATI SUKSES BERKARYA,980000,36,1,1.02E-06,0.027027027,0.111111111,0.030330841
KAMPAS REM BLKNG ALTIS,PT. EMPATI SUKSES BERKARYA,175000,185,1,5.71E-06,0.005376344,0.111111111,0.023837983
KAMPAS REM BLKNG MOBILIO,JAYA ABADI MOTOR,180000,177,1,5.56E-06,0.005617978,0.111111111,0.023910393
KAMPAS REM BLKNG SIGRA,76 MOTOR,285000,121,1,3.51E-06,0.008196721,0.111111111,0.024682993
KAMPAS REM BLKNG XENIA ,76 MOTOR,170000,19,1,5.88E-06,0.05,0.111111111,0.037225163
KAMPAS REM DEPAN L300,PT. EMPATI SUKSES BERKARYA,504000,87,1,1.98E-06,0.011363636,0.111111111,0.025632305
KAMPAS REM DPN AGYA M/T,76 MOTOR,175000,126,1,5.71E-06,0.007874016,0.111111111,0.024587284
KAMPAS REM DPN ALTIS,CITRA PRATAMA,250000,164,1,4.00E-06,0.006060606,0.111111111,0.024042404
KAMPAS REM DPN CALYA/SIGRA,METRO MOTOR,300000,137,1,3.33E-06,0.007246377,0.111111111,0.024397802
KAMPAS REM DPN FUTURA,PT. EMPATI SUKSES BERKARYA,95000,25,1,1.05E-05,0.038461538,0.111111111,0.033765947
KAMPAS REM DPN GRAND MAX,PT. EMPATI SUKSES BERKARYA,290000,189,1,3.45E-06,0.005263158,0.111111111,0.023802894
KAMPAS REM DPN HILUX DC REVO,PT. EMPATI SUKSES BERKARYA,250000,37,1,4.00E-06,0.026315789,0.111111111,0.030118959
KAMPAS REM DPN JAZZ,76 MOTOR,195000,99,2,5.13E-06,0.01,0.222222222,0.047447009
KAMPAS REM DPN TRAGA ORI,76 MOTOR,370000,53,1,2.70E-06,0.018518519,0.111111111,0.027779129
KAMPAS REM DPN TRAGA ORI,PT. EMPATI SUKSES BERKARYA,325000,36,2,3.08E-06,0.027027027,0.222222222,0.052554091
KAMPAS REM DPN XPANDER,76 MOTOR,250000,3,2,4.00E-06,0.25,0.222222222,0.119446444
KARET COIL SPRING ATAS AVANZA,JAYA RAYA MOBIL,130000,91,1,7.69E-06,0.010869565,0.111111111,0.025486938
KARET COIL SPRING AYLA/AGYA,PT. EMPATI SUKSES BERKARYA,100000,10,1,1.00E-05,0.090909091,0.111111111,0.049499949
KARET COIL SPRING BWH AVANZA,JAYA RAYA MOBIL,100000,91,1,1.00E-05,0.010869565,0.111111111,0.025488092
KARET COIL SPRING GRANDMAX,PT. EMPATI SUKSES BERKARYA,50000,91,2,2.00E-05,0.010869565,0.222222222,0.047715314
KARET COIL SPRING L300,PT. EMPATI SUKSES BERKARYA,150000,172,1,6.67E-06,0.005780347,0.111111111,0.02395966
KARET COIL SPRING SIGRA,PT. EMPATI SUKSES BERKARYA,50000,85,1,2.00E-05,0.011627907,0.111111111,0.025720594
KARET PER BLKG GRAND MAX,JAYA ABADI MOTOR,64000,134,1,1.56E-05,0.007407407,0.111111111,0.024452257
KARET PER BLKG GRAND MAX,JAYA RAYA MOBIL,80000,131,1,1.25E-05,0.007575758,0.111111111,0.024501199
KARET PER BLKG L300,PT. EMPATI SUKSES BERKARYA,100000,170,1,1.00E-05,0.005847953,0.111111111,0.023981608
KARET PER BLKNG CARRY FUTURA,PT. EMPATI SUKSES BERKARYA,40000,126,1,2.50E-05,0.007874016,0.111111111,0.024596927
KARET PER BSR CARRY,PT. EMPATI SUKSES BERKARYA,17000,29,1,5.88E-05,0.033333333,0.111111111,0.032251634
KARET PER FUTURA,PT. EMPATI SUKSES BERKARYA,30000,126,1,3.33E-05,0.007874016,0.111111111,0.024601094
KARET SHOCK BLKNG JAZZ,MEGAH JAYA MOTOR,100000,106,1,1.00E-05,0.009345794,0.111111111,0.025030961
KARET SHOCK BREAKER UNIVERSAL ,JAYA ABADI MOTOR,32000,191,1,3.13E-05,0.005208333,0.111111111,0.023800347
KARET SHOCK BREAKER UNIVERSAL ,PT. EMPATI SUKSES BERKARYA,48000,170,1,2.08E-05,0.005847953,0.111111111,0.023987025
KARET STABIL BLKG AVANZA/XENIA,JAYA ABADI MOTOR,27000,65,1,3.70E-05,0.015151515,0.111111111,0.026786195
KARET STABIL INNOVA,76 MOTOR,60000,164,1,1.67E-05,0.006060606,0.111111111,0.024048737
KARET STABIL LIVINA,MEGAH JAYA MOTOR,150000,117,1,6.67E-06,0.008474576,0.111111111,0.024767928
KARET STABIL PANTHER,PT. EMPATI SUKSES BERKARYA,90000,74,1,1.11E-05,0.013333333,0.111111111,0.026227778
KARET STABIL TRITON,PT. EMPATI SUKSES BERKARYA,70000,0,1,1.43E-05,1,0.111111111,0.322229365
KARET STABILIZER L300,PT. EMPATI SUKSES BERKARYA,270000,189,1,3.70E-06,0.005263158,0.111111111,0.023803021
KARET SUPPORT SHOCK APV,PT. EMPATI SUKSES BERKARYA,70000,162,1,1.43E-05,0.006134969,0.111111111,0.024069856
KARET SUPPORT SHOCK FREED,PT. EMPATI SUKSES BERKARYA,250000,170,1,4.00E-06,0.005847953,0.111111111,0.023978608
KARET SUPPORT SHOCK MOBILIO,JAYA ABADI MOTOR,150000,177,1,6.67E-06,0.005617978,0.111111111,0.023910949
KARET SUPPORT SHOCK YARIS,76 MOTOR,300000,126,1,3.33E-06,0.007874016,0.111111111,0.024586094
KARET TUTUP KOPLING GRANDMAX,PT. EMPATI SUKSES BERKARYA,15000,68,1,6.67E-05,0.014492754,0.111111111,0.026603382
KEPALA ACCU GF KECIL,BENGKEL JASA TEMAN MOTOR,25000,188,1,4.00E-05,0.005291005,0.111111111,0.023829524
KEPALA ACCU GF KECIL,PT. EMPATI SUKSES BERKARYA,45000,170,1,2.22E-05,0.005847953,0.111111111,0.023987719
KEPALA ACCU KECIL KUNINGAN,PT. EMPATI SUKSES BERKARYA,60000,60,1,1.67E-05,0.016393443,0.111111111,0.027148588
KEPALA ACCU VARIASI,76 MOTOR,55000,29,1,1.82E-05,0.033333333,0.111111111,0.032231313
KEPALA FILTER SOLAR TRAGA,JAYA ABADI MOTOR,125000,175,1,8.00E-06,0.005681818,0.111111111,0.023930768
KING PEN ASLI LELANGAN PS,PT. EMPATI SUKSES BERKARYA,1100000,18,2,9.09E-07,0.052631579,0.222222222,0.060234373
KLAKSON TROMPET 24V,76 MOTOR,270000,201,1,3.70E-06,0.004950495,0.111111111,0.023709223
KLAM HOSE BESAR,76 MOTOR,20000,134,1,5.00E-05,0.007407407,0.111111111,0.024469444
KLAM HOSE BESAR,PT. EMPATI SUKSES BERKARYA,15000,106,1,6.67E-05,0.009345794,0.111111111,0.025059294
KLAM HOSE BESAR,TOKO ADELA,17000,137,1,5.88E-05,0.007246377,0.111111111,0.024425547
KLAM HOSE KECIL,JAYA ABADI MOTOR,20000,114,1,5.00E-05,0.008695652,0.111111111,0.024855918
KLAM PLAT 1'',UD SINAR BAUT,9000,46,1,0.000111111,0.021276596,0.111111111,0.028660757
KLEP ARBOD,76 MOTOR,30000,162,1,3.33E-05,0.006134969,0.111111111,0.02407938
KLEP ARBOD,PT. EMPATI SUKSES BERKARYA,125000,24,1,8.00E-06,0.04,0.111111111,0.034226222
KLEP EX XENIA 1.0,PT. EMPATI SUKSES BERKARYA,150000,154,1,6.67E-06,0.006451613,0.111111111,0.024161039
KLEP IN XENIA 1.0,PT. EMPATI SUKSES BERKARYA,150000,154,1,6.67E-06,0.006451613,0.111111111,0.024161039
KLIP DUDUKAN TANGKAI KAP MESIN,76 MOTOR,10000,89,1,0.0001,0.011111111,0.111111111,0.025605556
LAMPU ATRET COLT120SS,PT. EMPATI SUKSES BERKARYA,35000,60,1,2.86E-05,0.016393443,0.111111111,0.027154541
